alaika,pala,asmenot,asmela,elkot,kumu,supu,rkyks,rkkot,raja,ahtas
25,105,6420,28420,2,1,1,2.19999980929995,66000,0,2
66,80,4800,4800,-9999,1,1,1.69999980929995,52000,0,3
38,80,5040,9040,2,0,2,1,25500,0,2
71,160,6996,11996,2,0,2,2.89999961849997,83500,0,3
17,100,7860,13460,2,0,2,2.69999980929995,128500,0,2
31,65,1392,1392,2,0,1,3.09999942779998,132500,0,2
36,98,2940,5240,2,0,1,2.39999961849997,95500,0,2
7,51,7536,7536,1,1,1,1.69999980929995,54000,0,2
3,98,4560,44560,1,0,1,2.19999980929995,148000,0,2
19,120,5400,5400,1,0,1,3.09999942779998,164500,0,2
34,100,2400,2400,-9999,0,2,2.39999961849997,97000,0,2
20,90,1800,1800,3,0,1,2.89999961849997,80000,0,2
15,100,3600,16000,1,0,1,2.69999980929995,108500,0,2
20,107,14364,14364,2,0,1,3.19999980929995,73000,1,2
44,168,5640,5640,1,0,1,2.89999961849997,121000,0,2
17,120,13200,43200,1,1,1,2.69999980929995,168000,0,2
19,84,12564,37564,2,1,2,2.39999961849997,110000,0,2
7,110,4716,37716,1,1,1,3.19999980929995,136500,0,2
36,200,7656,7656,1,1,1,2.69999980929995,172000,0,2
6,158,12420,26420,1,1,1,2.39999961849997,160000,0,3
3,18,5988,5988,2,0,1,1,14500,1,1
53,200,8400,8400,1,1,2,1.69999980929995,73000,0,3
17,80,5436,5436,2,1,2,2.69999980929995,113500,0,2
18,126,6000,6000,3,1,1,2.89999961849997,139000,0,2
12,78,5172,11126,2,1,1,1.69999980929995,57500,0,2
45,40,1416,1416,-9999,1,1,1.69999980929995,78000,0,2
47,106,2940,7840,2,1,1,3.39999961849997,101500,0,2
6,100,2364,23364,1,1,1,2.19999980929995,77500,0,2
10,100,7800,14800,2,1,2,2.89999961849997,117000,0,2
4,52,4476,7562,1,1,2,2,56500,0,1
8,105,5580,5580,2,1,2,2.39999961849997,119500,0,2
17,64,18300,18300,2,1,1,2.19999980929995,109500,0,2
15,80,2376,2376,2,1,1,3.89999961849997,93500,0,1
10,83,19800,19800,1,0,1,2.89999961849997,173500,0,2
28,100,9600,9600,2,0,2,1.69999980929995,121000,0,2
24,34,9600,9600,2,0,2,1,50000,0,2
7,132,14400,22400,3,0,1,1.69999980929995,165500,0,3
25,200,7200,7200,1,0,1,1.69999980929995,198500,0,3
1,27,3600,3600,2,0,2,1.69999980929995,81000,0,1
14,64,6960,33960,2,0,2,1.5,85500,0,2
6,84,9360,9360,1,0,1,2.69999980929995,103500,0,2
20,80,6000,6000,2,0,1,2.69999980929995,152500,0,2
9,200,9600,25600,1,0,2,2.89999961849997,197500,0,3
5,47,5400,45400,2,0,2,1,48500,0,2
22,68,7200,7200,2,0,2,1.69999980929995,161000,0,2
22,138,8400,8400,1,0,2,2.39999961849997,240000,0,3
4,129,9000,19000,2,0,2,2.69999980929995,186000,0,2
5,66,7800,23300,1,0,1,2.19999980929995,120000,0,2
0,76,9480,9480,1,1,2,1.69999980929995,69000,0,2
6,26,3000,15000,2,0,2,1,62500,0,2
4,34,13200,24200,1,0,2,1.69999980929995,130000,0,3
5,49,6048,21048,2,0,1,1,60500,0,2
6,98,8400,8400,2,0,2,2.89999961849997,139000,0,2
0,76,7608,7608,1,0,2,1,37000,0,3
2,86,7800,67800,1,0,2,2.19999980929995,195000,0,2
0,45,12000,12000,1,0,1,1.69999980929995,75500,0,2
3,60,5160,21160,2,0,1,2.19999980929995,128000,0,2
4,95,12000,52000,2,0,1,2.69999980929995,191000,0,2
8,150,6000,26000,2,0,1,2.19999980929995,179500,0,2
14,150,4680,64680,2,0,2,3.39999961849997,151000,0,2
18,71,9600,9600,1,0,2,1.69999980929995,84000,0,2
4,80,7200,37200,1,0,1,2.69999980929995,174000,0,2
0,75,14160,14160,1,0,1,2.69999980929995,106500,0,2
10,46,4680,4680,2,0,2,1.5,55000,0,2
2,57,9600,19600,-9999,0,2,1,47500,0,2
8,110,15120,35120,1,0,1,3.19999980929995,185500,0,2
0,60,4212,21012,1,0,1,1.69999980929995,94000,0,2
13,54,12708,12708,1,0,2,1.69999980929995,108500,0,2
7,85,7800,31800,2,0,2,3.39999961849997,223000,0,2
15,82,10200,19000,1,0,1,2.19999980929995,144000,0,2
6,62,6000,26400,2,0,1,1.69999980929995,120000,0,2
0,71,17400,53400,2,0,2,1.69999980929995,124000,0,2
1,79,6000,42000,1,0,2,2.39999961849997,101500,0,2
0,46,11880,11880,-9999,1,2,1,58000,0,2
2,78,6000,26000,2,0,2,2.19999980929995,140000,0,2
18,64,4500,4500,1,0,1,1.69999980929995,87000,0,2
9,180,6600,6600,2,0,1,2.39999961849997,175000,0,3
6,74,6360,31360,2,0,1,2.39999961849997,150000,0,2
50,150,4200,4200,1,0,2,1.69999980929995,45500,0,2
8,91,12000,12000,1,0,2,1.69999980929995,148000,0,3
30,90,9264,9517,1,0,2,1.69999980929995,86000,0,3
0,54,14400,14400,2,0,2,1,44500,0,2
2,120,7740,43740,1,0,2,2.69999980929995,183000,0,2
2,75,1800,41800,2,0,1,1.69999980929995,169000,0,2
0,60,12600,12600,2,0,1,1.69999980929995,115500,0,2
11,80,7200,18700,3,0,1,1.69999980929995,91000,0,2
0,51,12684,12684,1,0,2,1.69999980929995,54500,0,2
5,91,17976,44476,2,0,2,2.69999980929995,108000,0,2
6,58,16800,16800,1,0,2,1.69999980929995,71500,0,2
4,250,15000,15000,2,0,2,2.69999980929995,107000,0,3
2,55,5160,29160,2,1,1,1.69999980929995,110000,0,2
6,68,13200,13200,1,1,1,1.69999980929995,98500,0,2
65,104,4020,4020,3,1,2,1.69999980929995,60500,0,3
22,70,0,0,2,1,1,4.49999904629995,218500,0,1
25,110,4488,32488,2,1,1,4.29999923709998,196000,0,2
5,115,8400,22200,2,1,2,3.19999980929995,64500,1,2
42,220,5940,5940,1,1,1,1.69999980929995,108500,0,3
15,40,2280,9480,2,0,2,2.19999980929995,91000,0,1
47,33,7680,7680,1,0,2,1,38000,0,2
25,48,5784,5784,1,0,2,1.69999980929995,83000,0,2
26,126,4368,4368,1,0,2,3.59999942779998,102500,0,2
11,124,5400,5400,1,0,1,2.19999980929995,110500,0,2
2,71,6960,6960,2,0,2,1,40500,0,3
14,60,7380,7380,1,0,2,1.69999980929995,61000,0,2
11,110,7344,7344,1,0,2,3.19999980929995,131000,0,2
1,60,15192,21192,1,0,2,2.69999980929995,118500,0,1
50,90,4800,4800,1,0,2,1.69999980929995,50000,0,3
31,52,4800,4800,1,0,1,1.69999980929995,53500,0,2
13,50,3360,3360,1,0,2,1.69999980929995,51000,0,2
33,105,2880,2880,1,0,1,3.59999942779998,143500,0,2
0,42,7560,7560,2,0,2,1.5,57500,0,2
8,116,7080,37080,2,1,1,3.39999961849997,113500,0,2
14,90,6480,6480,1,1,1,2.69999980929995,71000,0,2
29,40,0,0,1,1,2,2.19999980929995,87000,0,1
30,53,13176,13176,2,1,1,1.69999980929995,78000,0,2
80,50,3804,3804,1,1,1,1.69999980929995,34500,1,2
39,30,4800,4800,2,1,1,2.39999961849997,106000,0,1
4,83,11700,31700,2,1,1,2.69999980929995,106500,0,2
53,75,7560,7560,2,0,2,1,34500,0,3
27,80,8808,8808,2,0,2,1.69999980929995,93500,0,3
17,116,9780,9780,1,0,2,2.69999980929995,123000,0,2
1,125,5400,29000,2,0,1,2.19999980929995,126500,0,3
1,150,21240,61240,2,0,1,2.19999980929995,127000,0,3
46,185,9948,9948,2,1,1,3.39999961849997,106000,0,3
5,107,5400,12800,2,1,2,3.19999980929995,136500,0,2
10,57,5916,5916,2,1,1,1.69999980929995,46500,0,2
1,35,3600,3600,1,0,2,1,11000,1,2
15,98,7692,7692,1,0,1,2.89999961849997,123000,0,2
15,71,12000,12000,2,0,1,2.39999961849997,144000,0,2
18,70,9336,9336,3,0,2,2.69999980929995,142500,0,2
3,120,7440,28440,2,0,2,2.69999980929995,184500,0,2
41,123,4800,4800,1,0,1,2.19999980929995,121500,0,3
27,120,18000,34000,2,0,2,2.69999980929995,135000,0,2
86,70,7872,7872,1,0,1,1.69999980929995,48500,0,2
