alaika,pala,asmenot,asmela,elkot,kumu,supu,rkyks,rkkot,raja,ahtas,filter_$
25,105,6420,28420,2,1,1,2.19999980929995,66000,0,2,1
66,80,4800,4800,-9999,1,1,1.69999980929995,52000,0,3,1
71,160,6996,11996,2,0,2,2.89999961849997,83500,0,3,1
17,100,7860,13460,2,0,2,2.69999980929995,128500,0,2,1
36,98,2940,5240,2,0,1,2.39999961849997,95500,0,2,1
7,51,7536,7536,1,1,1,1.69999980929995,54000,0,2,1
3,98,4560,44560,1,0,1,2.19999980929995,148000,0,2,1
19,120,5400,5400,1,0,1,3.09999942779998,164500,0,2,1
34,100,2400,2400,-9999,0,2,2.39999961849997,97000,0,2,1
20,90,1800,1800,3,0,1,2.89999961849997,80000,0,2,1
20,107,14364,14364,2,0,1,3.19999980929995,73000,1,2,1
7,110,4716,37716,1,1,1,3.19999980929995,136500,0,2,1
6,158,12420,26420,1,1,1,2.39999961849997,160000,0,3,1
3,18,5988,5988,2,0,1,1,14500,1,1,1
17,80,5436,5436,2,1,2,2.69999980929995,113500,0,2,1
18,126,6000,6000,3,1,1,2.89999961849997,139000,0,2,1
47,106,2940,7840,2,1,1,3.39999961849997,101500,0,2,1
6,100,2364,23364,1,1,1,2.19999980929995,77500,0,2,1
10,100,7800,14800,2,1,2,2.89999961849997,117000,0,2,1
8,105,5580,5580,2,1,2,2.39999961849997,119500,0,2,1
17,64,18300,18300,2,1,1,2.19999980929995,109500,0,2,1
15,80,2376,2376,2,1,1,3.89999961849997,93500,0,1,1
10,83,19800,19800,1,0,1,2.89999961849997,173500,0,2,1
25,200,7200,7200,1,0,1,1.69999980929995,198500,0,3,1
6,84,9360,9360,1,0,1,2.69999980929995,103500,0,2,1
9,200,9600,25600,1,0,2,2.89999961849997,197500,0,3,1
4,129,9000,19000,2,0,2,2.69999980929995,186000,0,2,1
6,26,3000,15000,2,0,2,1,62500,0,2,1
6,98,8400,8400,2,0,2,2.89999961849997,139000,0,2,1
0,45,12000,12000,1,0,1,1.69999980929995,75500,0,2,1
3,60,5160,21160,2,0,1,2.19999980929995,128000,0,2,1
8,150,6000,26000,2,0,1,2.19999980929995,179500,0,2,1
14,150,4680,64680,2,0,2,3.39999961849997,151000,0,2,1
18,71,9600,9600,1,0,2,1.69999980929995,84000,0,2,1
2,57,9600,19600,-9999,0,2,1,47500,0,2,1
8,110,15120,35120,1,0,1,3.19999980929995,185500,0,2,1
0,60,4212,21012,1,0,1,1.69999980929995,94000,0,2,1
13,54,12708,12708,1,0,2,1.69999980929995,108500,0,2,1
15,82,10200,19000,1,0,1,2.19999980929995,144000,0,2,1
0,71,17400,53400,2,0,2,1.69999980929995,124000,0,2,1
1,79,6000,42000,1,0,2,2.39999961849997,101500,0,2,1
0,46,11880,11880,-9999,1,2,1,58000,0,2,1
50,150,4200,4200,1,0,2,1.69999980929995,45500,0,2,1
8,91,12000,12000,1,0,2,1.69999980929995,148000,0,3,1
30,90,9264,9517,1,0,2,1.69999980929995,86000,0,3,1
2,75,1800,41800,2,0,1,1.69999980929995,169000,0,2,1
0,60,12600,12600,2,0,1,1.69999980929995,115500,0,2,1
5,91,17976,44476,2,0,2,2.69999980929995,108000,0,2,1
4,250,15000,15000,2,0,2,2.69999980929995,107000,0,3,1
65,104,4020,4020,3,1,2,1.69999980929995,60500,0,3,1
42,220,5940,5940,1,1,1,1.69999980929995,108500,0,3,1
15,40,2280,9480,2,0,2,2.19999980929995,91000,0,1,1
26,126,4368,4368,1,0,2,3.59999942779998,102500,0,2,1
11,124,5400,5400,1,0,1,2.19999980929995,110500,0,2,1
2,71,6960,6960,2,0,2,1,40500,0,3,1
11,110,7344,7344,1,0,2,3.19999980929995,131000,0,2,1
30,53,13176,13176,2,1,1,1.69999980929995,78000,0,2,1
39,30,4800,4800,2,1,1,2.39999961849997,106000,0,1,1
4,83,11700,31700,2,1,1,2.69999980929995,106500,0,2,1
1,150,21240,61240,2,0,1,2.19999980929995,127000,0,3,1
46,185,9948,9948,2,1,1,3.39999961849997,106000,0,3,1
10,57,5916,5916,2,1,1,1.69999980929995,46500,0,2,1
3,120,7440,28440,2,0,2,2.69999980929995,184500,0,2,1
41,123,4800,4800,1,0,1,2.19999980929995,121500,0,3,1
17,75,7320,7320,2,0,1,2.39999961849997,117500,0,2,1
9,102,13200,15200,2,0,2,3.09999942779998,154500,0,2,1
10,71,5844,5844,2,0,1,2.39999961849997,102000,0,2,1
15,51,7332,7332,2,1,1,1,42500,0,2,1
3,110,4800,24800,2,1,1,2.89999961849997,145500,0,2,1
6,58,4320,54320,2,1,1,1.69999980929995,128500,0,2,1
9,81,6948,6948,1,1,2,1.69999980929995,41000,0,2,1
35,52,2880,2880,2,1,2,1.69999980929995,105500,0,2,1
14,180,6600,12100,2,1,1,2.39999961849997,136500,0,2,1
52,60,1740,1740,2,1,1,1.69999980929995,63500,0,2,1
10,240,10800,30800,2,1,1,2.39999961849997,228500,0,3,1
6,56,4800,4800,1,0,2,1.69999980929995,30500,1,2,1
2,60,16800,16800,2,0,1,2.69999980929995,87500,0,1,1
5,84,6000,36000,2,0,1,2.19999980929995,86000,0,2,1
0,110,6240,48240,1,1,2,1.69999980929995,102500,0,3,1
